glib2 2.58.3-1
glibc 2.28-5
glslang 7.10.2984-1
glu 9.0.0-5
gmp 6.1.2-2
gnome-desktop 1:3.30.2.1-1
gnome-keyring 1:3.28.2-1
gnome-themes-extra 3.28-1
gnupg 2.2.12-2
gnutls 3.6.6-1
gobject-introspection-runtime 1.58.3-1
google-chrome 72.0.3626.96-1
gpgme 1.12.0-1
gpm 1.20.7.r27.g1fd1941-1
gptfdisk 1.0.4-1
granite 5.2.2-1
graphene 1.8.2-1
graphite 1:1.3.13-1
grep 3.3-1
groff 1.22.3-8
grub 2:2.02-8
gsettings-desktop-schemas 3.28.1-1
gsettings-qt 0.1.20170110-2
gsfonts 20180524-2
gsm 1.0.18-1
gspell 1.8.1-1
gssdp 1.0.3-1
gst-libav 1.14.4-1
gst-plugins-bad 1.14.4-7
gst-plugins-base 1.14.4-1
gst-plugins-base-libs 1.14.4-1
gst-plugins-good 1.14.4-1
gst-plugins-ugly 1.14.4-1
gstreamer 1.14.4-1
gtk-engine-murrine 0.98.2-3
gtk-engines 2.21.0-4
gtk-update-icon-cache 3.24.5-1
gtk2 2.24.32-1
gtk3 3.24.5-1
gtksourceview3 3.24.9-2
guile 2.2.4-2
gupnp 1.0.3-1
gupnp-igd 0.2.5-1
gvfs 1.38.1+8+ge4eec2bc-1
gzip 1.10-1
harfbuzz 2.3.1-1
harfbuzz-icu 2.3.1-1
hicolor-icon-theme 0.17-1
hspell 1.4-1
http-parser 2.9.0-1
hunspell 1.7.0-2
hwids 20180917-1
hyphen 2.8.8-2
iana-etc 20190125-1
icu 63.1-2
iease-music 1.3.4-1
ijs 0.35-2
ilmbase 2.3.0-1
imagemagick 7.0.8.26-1
imlib2 1.5.1-1
imwheel 1.0.0pre12-5
inetutils 1.9.4-7
intltool 0.51.0-4
iproute2 4.20.0-1
iptables 1:1.8.2-1
iputils 20180629.f6aac8d-3
iso-codes 4.2-1
jack 0.125.0-7
jansson 2.12-1
jasper 2.0.14-1
java-environment-common 3-1
java-runtime-common 3-1
java32-environment-common 2-2
java32-runtime-common 2-2
javafx-scenebuilder 8.5.0-2
jbig2dec 0.15-1
jdk-openjdk 11.0.2.u7-1
jemalloc 1:5.1.0-1
jfsutils 1.1.15-6
jre-openjdk 11.0.2.u7-1
jre-openjdk-headless 11.0.2.u7-1
js52 52.9.0-2
json-c 0.13.1-2
json-glib 1.4.4-1
jxrlib 0.2.1-3
kbd 2.0.4-2
kcodecs 5.54.0-2
keyutils 1.6-1
kmod 25-1
krb5 1.16.1-1
l-smash 2.14.5-1
ladspa 1.15-1
lame 3.100-2
lantern-bin 5.2.8-1
lcms2 2.9-1
ldb 1:1.4.3-1
ldns 1.7.0-4
leptonica 1.77.0-1
less 530-1
lib32-acl 2.2.53-1
lib32-alsa-lib 1.1.8-1
lib32-alsa-plugins 1.1.8-1
lib32-attr 2.4.48-1
lib32-bzip2 1.0.6-3
lib32-dbus 1.12.12-1
lib32-expat 2.2.6-2
lib32-flac 1.3.2-2
lib32-fontconfig 2:2.13.1+12+g5f5ec56-1
lib32-freetype2 2.9.1-1
lib32-gcc-libs 8.2.1+20181127-1
lib32-gettext 0.19.8.1-2
lib32-glib2 2.58.3-1
lib32-glibc 2.28-5
lib32-glu 9.0.0-4
lib32-harfbuzz 2.3.1-1
lib32-icu 63.1-2
lib32-lcms2 2.9-1
lib32-libasyncns 0.8+3+g68cd5af-2
lib32-libcap 2.25-2
lib32-libdrm 2.4.97-1
lib32-libelf 0.175-1
lib32-libffi 3.2.1-2
lib32-libgcrypt 1.8.4-1
lib32-libglvnd 1.1.0-1
lib32-libgpg-error 1.34-1
lib32-libice 1.0.9-3
lib32-libjpeg-turbo 2.0.1-1
lib32-libjpeg6-turbo 1.5.3-1
lib32-libldap 2.4.47-1
lib32-libnl 3.4.0-1
lib32-libogg 1.3.3-2
lib32-libpcap 1.9.0-1
lib32-libpciaccess 0.14-1
lib32-libpng 1.6.36-1
lib32-libpulse 12.2-1
lib32-libsm 1.2.3-1
lib32-libsndfile 1.0.28-2
lib32-libtiff 4.0.10-1
lib32-libusb 1.0.22-1
lib32-libvorbis 1.3.6-1
lib32-libx11 1.6.7-1
lib32-libxau 1.0.8-2
lib32-libxcb 1.13.1-1
lib32-libxcursor 1.1.15-1
lib32-libxdamage 1.1.4-3
lib32-libxdmcp 1.1.2-2
lib32-libxext 1.3.3-2
lib32-libxfixes 5.0.3-2
lib32-libxi 1.7.9-2
lib32-libxml2 2.9.9-1
